kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
sorted,512,20260923,4,heap,0.008547253,455,7958,13392,16,1,16
sorted,512,20260924,0,insertion,0.000307373,4096,511,0,16,1,16
sorted,512,20260924,0,merge,0.006147482,834,2304,9216,8192,1,16
sorted,512,20260924,0,heap,0.008746000,500,7958,13392,16,1,16
sorted,512,20260924,1,merge,0.005916067,834,2304,9216,8192,1,16
sorted,512,20260924,1,heap,0.008982000,500,7958,13392,16,1,16
sorted,512,20260924,1,insertion,0.000315430,4096,511,0,16,1,16
sorted,512,20260924,2,heap,0.008936000,500,7958,13392,16,1,16
sorted,512,20260924,2,insertion,0.000321533,4096,511,0,16,1,16
sorted,512,20260924,2,merge,0.006369305,834,2304,9216,8192,1,16
sorted,512,20260924,3,insertion,0.000306885,4096,511,0,16,1,16
sorted,512,20260924,3,merge,0.005900480,834,2304,9216,8192,1,16
sorted,512,20260924,3,heap,0.008864000,500,7958,13392,16,1,16
sorted,512,20260924,4,merge,0.006003597,834,2304,9216,8192,1,16
sorted,512,20260924,4,heap,0.008678000,500,7958,13392,16,1,16
sorted,512,20260924,4,insertion,0.000324951,4096,511,0,16,1,16
reversed,512,20260922,0,merge,0.006104317,556,2304,9216,8192,1,16
reversed,512,20260922,0,heap,0.007996000,500,7203,11316,16,1,16
reversed,512,20260922,0,insertion,0.079846154,52,131327,131838,16,1,16
reversed,512,20260922,1,heap,0.007848000,500,7203,11316,16,1,16
reversed,512,20260922,1,insertion,0.083538462,52,131327,131838,16,1,16
reversed,512,20260922,1,merge,0.005836331,556,2304,9216,8192,1,16
reversed,512,20260922,2,insertion,0.078788462,52,131327,131838,16,1,16
reversed,512,20260922,2,merge,0.005838129,556,2304,9216,8192,1,16
reversed,512,20260922,2,heap,0.007958000,500,7203,11316,16,1,16
reversed,512,20260922,3,merge,0.005681655,556,2304,9216,8192,1,16
reversed,512,20260922,3,heap,0.007990000,500,7203,11316,16,1,16
reversed,512,20260922,3,insertion,0.081019231,52,131327,131838,16,1,16
reversed,512,20260922,4,heap,0.008182000,500,7203,11316,16,1,16
reversed,512,20260922,4,insertion,0.081403846,52,131327,131838,16,1,16
reversed,512,20260922,4,merge,0.005852518,556,2304,9216,8192,1,16
reversed,512,20260923,0,heap,0.007809904,626,7203,11316,16,1,16
reversed,512,20260923,0,insertion,0.085076923,65,131327,131838,16,1,16
reversed,512,20260923,0,merge,0.005904077,834,2304,9216,8192,1,16
reversed,512,20260923,1,insertion,0.080169231,65,131327,131838,16,1,16
reversed,512,20260923,1,merge,0.006086331,834,2304,9216,8192,1,16
reversed,512,20260923,1,heap,0.007894569,626,7203,11316,16,1,16
reversed,512,20260923,2,merge,0.005738609,834,2304,9216,8192,1,16
reversed,512,20260923,2,heap,0.007936102,626,7203,11316,16,1,16
reversed,512,20260923,2,insertion,0.081015385,65,131327,131838,16,1,16
reversed,512,20260923,3,heap,0.007645367,626,7203,11316,16,1,16
reversed,512,20260923,3,insertion,0.083000000,65,131327,131838,16,1,16
reversed,512,20260923,3,merge,0.005868106,834,2304,9216,8192,1,16
reversed,512,20260923,4,insertion,0.080461538,65,131327,131838,16,1,16
reversed,512,20260923,4,merge,0.005970024,834,2304,9216,8192,1,16
reversed,512,20260923,4,heap,0.007824281,626,7203,11316,16,1,16
reversed,512,20260924,0,insertion,0.080218182,55,131327,131838,16,1,16
reversed,512,20260924,0,merge,0.005735664,715,2304,9216,8192,1,16
reversed,512,20260924,0,heap,0.008051118,626,7203,11316,16,1,16
reversed,512,20260924,1,merge,0.006152448,715,2304,9216,8192,1,16
reversed,512,20260924,1,heap,0.007963259,626,7203,11316,16,1,16
reversed,512,20260924,1,insertion,0.085527273,55,131327,131838,16,1,16
reversed,512,20260924,2,heap,0.007819489,626,7203,11316,16,1,16
reversed,512,20260924,2,insertion,0.079163636,55,131327,131838,16,1,16
reversed,512,20260924,2,merge,0.005942657,715,2304,9216,8192,1,16
reversed,512,20260924,3,insertion,0.080545455,55,131327,131838,16,1,16
reversed,512,20260924,3,merge,0.005826573,715,2304,9216,8192,1,16
reversed,512,20260924,3,heap,0.007813099,626,7203,11316,16,1,16
reversed,512,20260924,4,merge,0.006114685,715,2304,9216,8192,1,16
reversed,512,20260924,4,heap,0.007723642,626,7203,11316,16,1,16
reversed,512,20260924,4,insertion,0.081181818,55,131327,131838,16,1,16
few_unique,512,20260922,0,merge,0.009888179,313,3843,9216,8192,1,16
few_unique,512,20260922,0,heap,0.007889688,417,7046,11043,16,0,16
few_unique,512,20260922,0,insertion,0.040840000,125,62345,62281,16,1,16
few_unique,512,20260922,1,heap,0.007697842,417,7046,11043,16,0,16
few_unique,512,20260922,1,insertion,0.041760000,125,62345,62281,16,1,16
few_unique,512,20260922,1,merge,0.008872204,313,3843,9216,8192,1,16
few_unique,512,20260922,2,insertion,0.039528000,125,62345,62281,16,1,16
few_unique,512,20260922,2,merge,0.008623003,313,3843,9216,8192,1,16
few_unique,512,20260922,2,heap,0.007589928,417,7046,11043,16,0,16
few_unique,512,20260922,3,merge,0.009162939,313,3843,9216,8192,1,16
few_unique,512,20260922,3,heap,0.007462830,417,7046,11043,16,0,16
few_unique,512,20260922,3,insertion,0.040024000,125,62345,62281,16,1,16
few_unique,512,20260922,4,heap,0.007736211,417,7046,11043,16,0,16
few_unique,512,20260922,4,insertion,0.040672000,125,62345,62281,16,1,16
few_unique,512,20260922,4,merge,0.008600639,313,3843,9216,8192,1,16
few_unique,512,20260923,0,heap,0.008068182,264,7119,11262,16,0,16
few_unique,512,20260923,0,insertion,0.036845588,136,57470,57406,16,1,16
few_unique,512,20260923,0,merge,0.008840782,358,3824,9216,8192,1,16
few_unique,512,20260923,1,insertion,0.037698529,136,57470,57406,16,1,16
few_unique,512,20260923,1,merge,0.008949721,358,3824,9216,8192,1,16
few_unique,512,20260923,1,heap,0.007598485,264,7119,11262,16,0,16
few_unique,512,20260923,2,merge,0.008581006,358,3824,9216,8192,1,16
